text,label,case folding,tokenizing,filtering,stemmed
ukrainian presid volodymyr zelenski visit embassi republ turkey ukrain paid tribut victim earthquak turkey,positif,ukrainian presid volodymyr zelenski visit embassi republ turkey ukrain paid tribut victim earthquak turkey,"['ukrainian', 'presid', 'volodymyr', 'zelenski', 'visit', 'embassi', 'republ', 'turkey', 'ukrain', 'paid', 'tribut', 'victim', 'earthquak', 'turkey']","['ukrainian', 'presid', 'volodymyr', 'zelenski', 'visit', 'embassi', 'republ', 'turkey', 'ukrain', 'paid', 'tribut', 'victim', 'earthquak', 'turkey']","['ukrainian', 'presid', 'volodymyr', 'zelenski', 'visit', 'embassi', 'republ', 'turkey', 'ukrain', 'paid', 'tribut', 'victim', 'earthquak', 'turkey']"
let help togeth peopl difficult situat earthquak send aid crypto link necessari inform,positif,let help togeth peopl difficult situat earthquak send aid crypto link necessari inform,"['let', 'help', 'togeth', 'peopl', 'difficult', 'situat', 'earthquak', 'send', 'aid', 'crypto', 'link', 'necessari', 'inform']","['let', 'help', 'togeth', 'peopl', 'difficult', 'situat', 'earthquak', 'send', 'aid', 'crypto', 'link', 'necessari', 'inform']","['let', 'help', 'togeth', 'peopl', 'difficult', 'situat', 'earthquak', 'send', 'aid', 'crypto', 'link', 'necessari', 'inform']"
indian nation went miss massiv found dead rubbl,negatif,indian nation went miss massiv found dead rubbl,"['indian', 'nation', 'went', 'miss', 'massiv', 'found', 'dead', 'rubbl']","['indian', 'nation', 'went', 'miss', 'massiv', 'found', 'dead', 'rubbl']","['indian', 'nation', 'went', 'miss', 'massiv', 'found', 'dead', 'rubbl']"
heartfelt condol prayer famili victim,positif,heartfelt condol prayer famili victim,"['heartfelt', 'condol', 'prayer', 'famili', 'victim']","['heartfelt', 'condol', 'prayer', 'famili', 'victim']","['heartfelt', 'condol', 'prayer', 'famili', 'victim']"
turkey syria earthquak death toll reach 23 700,negatif,turkey syria earthquak death toll reach 23 700,"['turkey', 'syria', 'earthquak', 'death', 'toll', 'reach', '23', '700']","['turkey', 'syria', 'earthquak', 'death', 'toll', 'reach', '23', '700']","['turkey', 'syria', 'earthquak', 'death', 'toll', 'reach', '23', '700']"
almost die rescu effort thank good good hero,positif,almost die rescu effort thank good good hero,"['almost', 'die', 'rescu', 'effort', 'thank', 'good', 'good', 'hero']","['almost', 'die', 'rescu', 'effort', 'thank', 'good', 'good', 'hero']","['almost', 'die', 'rescu', 'effort', 'thank', 'good', 'good', 'hero']"
sorri sorri pleas forgiv fault brother tri save three,positif,sorri sorri pleas forgiv fault brother tri save three,"['sorri', 'sorri', 'pleas', 'forgiv', 'fault', 'brother', 'tri', 'save', 'three']","['sorri', 'sorri', 'pleas', 'forgiv', 'fault', 'brother', 'tri', 'save', 'three']","['sorri', 'sorri', 'plea', 'forgiv', 'fault', 'brother', 'tri', 'save', 'three']"
latest death toll week earthquak pass 25 000 accord data countri video,negatif,latest death toll week earthquak pass 25 000 accord data countri video,"['latest', 'death', 'toll', 'week', 'earthquak', 'pass', '25', '000', 'accord', 'data', 'countri', 'video']","['latest', 'death', 'toll', 'week', 'earthquak', 'pass', '25', '000', 'accord', 'data', 'countri', 'video']","['latest', 'death', 'toll', 'week', 'earthquak', 'pass', '25', '000', 'accord', 'data', 'countri', 'video']"
donat,neutral,donat,['donat'],['donat'],['donat']
earthquak rescu slow turkey hope find peopl aliv fade,negatif,earthquak rescu slow turkey hope find peopl aliv fade,"['earthquak', 'rescu', 'slow', 'turkey', 'hope', 'find', 'peopl', 'aliv', 'fade']","['earthquak', 'rescu', 'slow', 'turkey', 'hope', 'find', 'peopl', 'aliv', 'fade']","['earthquak', 'rescu', 'slow', 'turkey', 'hope', 'find', 'peopl', 'aliv', 'fade']"
anonym businessman pakistan donat 30m earthquak victim turkey syria,negatif,anonym businessman pakistan donat 30m earthquak victim turkey syria,"['anonym', 'businessman', 'pakistan', 'donat', '30m', 'earthquak', 'victim', 'turkey', 'syria']","['anonym', 'businessman', 'pakistan', 'donat', '30m', 'earthquak', 'victim', 'turkey', 'syria']","['anonym', 'businessman', 'pakistan', 'donat', '30m', 'earthquak', 'victim', 'turkey', 'syria']"
7 8 magnitud earthquak rock turkey syria kill least 25 000,neutral,7 8 magnitud earthquak rock turkey syria kill least 25 000,"['7', '8', 'magnitud', 'earthquak', 'rock', 'turkey', 'syria', 'kill', 'least', '25', '000']","['7', '8', 'magnitud', 'earthquak', 'rock', 'turkey', 'syria', 'kill', 'least', '25', '000']","['7', '8', 'magnitud', 'earthquak', 'rock', 'turkey', 'syria', 'kill', 'least', '25', '000']"
c 17 globemast aircraft indian air forc left turkey syria relief materi,positif,c 17 globemast aircraft indian air forc left turkey syria relief materi,"['c', '17', 'globemast', 'aircraft', 'indian', 'air', 'forc', 'left', 'turkey', 'syria', 'relief', 'materi']","['c', '17', 'globemast', 'aircraft', 'indian', 'air', 'forc', 'left', 'turkey', 'syria', 'relief', 'materi']","['c', '17', 'globemast', 'aircraft', 'indian', 'air', 'forc', 'left', 'turkey', 'syria', 'relief', 'materi']"
nahar volunt ground turkey distribut emerg food water medicin pleas donat gener,positif,nahar volunt ground turkey distribut emerg food water medicin pleas donat gener,"['nahar', 'volunt', 'ground', 'turkey', 'distribut', 'emerg', 'food', 'water', 'medicin', 'pleas', 'donat', 'gener']","['nahar', 'volunt', 'ground', 'turkey', 'distribut', 'emerg', 'food', 'water', 'medicin', 'pleas', 'donat', 'gener']","['nahar', 'volunt', 'ground', 'turkey', 'distribut', 'emerg', 'food', 'water', 'medicin', 'plea', 'donat', 'gener']"
child surviv 5 day 120 hour without breastf,neutral,child surviv 5 day 120 hour without breastf,"['child', 'surviv', '5', 'day', '120', 'hour', 'without', 'breastf']","['child', 'surviv', '5', 'day', '120', 'hour', 'without', 'breastf']","['child', 'surviv', '5', 'day', '120', 'hour', 'without', 'breastf']"
turkey lof money erdogan must help peopl,positif,turkey lof money erdogan must help peopl,"['turkey', 'lof', 'money', 'erdogan', 'must', 'help', 'peopl']","['turkey', 'lof', 'money', 'erdogan', 'must', 'help', 'peopl']","['turkey', 'lof', 'money', 'erdogan', 'must', 'help', 'peopl']"
break 2 month old infant rescu aliv turkey 3 day buri rubbl,neutral,break 2 month old infant rescu aliv turkey 3 day buri rubbl,"['break', '2', 'month', 'old', 'infant', 'rescu', 'aliv', 'turkey', '3', 'day', 'buri', 'rubbl']","['break', '2', 'month', 'old', 'infant', 'rescu', 'aliv', 'turkey', '3', 'day', 'buri', 'rubbl']","['break', '2', 'month', 'old', 'infant', 'rescu', 'aliv', 'turkey', '3', 'day', 'buri', 'rubbl']"
turkey earthquak 2023,neutral,turkey earthquak 2023,"['turkey', 'earthquak', '2023']","['turkey', 'earthquak', '2023']","['turkey', 'earthquak', '2023']"
emerg appeal may allah bless accept,positif,emerg appeal may allah bless accept,"['emerg', 'appeal', 'may', 'allah', 'bless', 'accept']","['emerg', 'appeal', 'may', 'allah', 'bless', 'accept']","['emerg', 'appeal', 'may', 'allah', 'bless', 'accept']"
turkish peopl stay strong,positif,turkish peopl stay strong,"['turkish', 'peopl', 'stay', 'strong']","['turkish', 'peopl', 'stay', 'strong']","['turkish', 'peopl', 'stay', 'strong']"
drone china use save peopl life west countri use kill peopl,neutral,drone china use save peopl life west countri use kill peopl,"['drone', 'china', 'use', 'save', 'peopl', 'life', 'west', 'countri', 'use', 'kill', 'peopl']","['drone', 'china', 'use', 'save', 'peopl', 'life', 'west', 'countri', 'use', 'kill', 'peopl']","['drone', 'china', 'use', 'save', 'peopl', 'life', 'west', 'countri', 'use', 'kill', 'peopl']"
pleas someon explain miracl kid manag surviv 130 hour without water food cold weather,positif,pleas someon explain miracl kid manag surviv 130 hour without water food cold weather,"['pleas', 'someon', 'explain', 'miracl', 'kid', 'manag', 'surviv', '130', 'hour', 'without', 'water', 'food', 'cold', 'weather']","['pleas', 'someon', 'explain', 'miracl', 'kid', 'manag', 'surviv', '130', 'hour', 'without', 'water', 'food', 'cold', 'weather']","['plea', 'someon', 'explain', 'miracl', 'kid', 'manag', 'surviv', '130', 'hour', 'without', 'water', 'food', 'cold', 'weather']"
ministri trade director gener custom turkey confin good sent foreign nation use affect area eq exempt custom duti provid sent gov institut public interest organ tax exempt org,positif,ministri trade director gener custom turkey confin good sent foreign nation use affect area eq exempt custom duti provid sent gov institut public interest organ tax exempt org,"['ministri', 'trade', 'director', 'gener', 'custom', 'turkey', 'confin', 'good', 'sent', 'foreign', 'nation', 'use', 'affect', 'area', 'eq', 'exempt', 'custom', 'duti', 'provid', 'sent', 'gov', 'institut', 'public', 'interest', 'organ', 'tax', 'exempt', 'org']","['ministri', 'trade', 'director', 'gener', 'custom', 'turkey', 'confin', 'good', 'sent', 'foreign', 'nation', 'use', 'affect', 'area', 'eq', 'exempt', 'custom', 'duti', 'provid', 'sent', 'gov', 'institut', 'public', 'interest', 'organ', 'tax', 'exempt', 'org']","['ministri', 'trade', 'director', 'gener', 'custom', 'turkey', 'confin', 'good', 'sent', 'foreign', 'nation', 'use', 'affect', 'area', 'eq', 'exempt', 'custom', 'duti', 'provid', 'sent', 'gov', 'institut', 'public', 'interest', 'organ', 'tax', 'exempt', 'org']"
let world know syrian die twice rubbl earthquak rule assad let histori write unit nation human right turn blind eye suffer syrian,negatif,let world know syrian die twice rubbl earthquak rule assad let histori write unit nation human right turn blind eye suffer syrian,"['let', 'world', 'know', 'syrian', 'die', 'twice', 'rubbl', 'earthquak', 'rule', 'assad', 'let', 'histori', 'write', 'unit', 'nation', 'human', 'right', 'turn', 'blind', 'eye', 'suffer', 'syrian']","['let', 'world', 'know', 'syrian', 'die', 'twice', 'rubbl', 'earthquak', 'rule', 'assad', 'let', 'histori', 'write', 'unit', 'nation', 'human', 'right', 'turn', 'blind', 'eye', 'suffer', 'syrian']","['let', 'world', 'know', 'syrian', 'die', 'twice', 'rubbl', 'earthquak', 'rule', 'assad', 'let', 'histori', 'write', 'unit', 'nation', 'human', 'right', 'turn', 'blind', 'eye', 'suffer', 'syrian']"
help brother sister like one bodi one part bodi hurt feel,positif,help brother sister like one bodi one part bodi hurt feel,"['help', 'brother', 'sister', 'like', 'one', 'bodi', 'one', 'part', 'bodi', 'hurt', 'feel']","['help', 'brother', 'sister', 'like', 'one', 'bodi', 'one', 'part', 'bodi', 'hurt', 'feel']","['help', 'brother', 'sister', 'like', 'one', 'bodi', 'one', 'part', 'bodi', 'hurt', 'feel']"
dog say put damn camera help us,positif,dog say put damn camera help us,"['dog', 'say', 'put', 'damn', 'camera', 'help', 'us']","['dog', 'say', 'put', 'damn', 'camera', 'help', 'us']","['dog', 'say', 'put', 'damn', 'camera', 'help', 'us']"
turkey earthquak,neutral,turkey earthquak,"['turkey', 'earthquak']","['turkey', 'earthquak']","['turkey', 'earthquak']"
earthquak death toll surpass 28 000 turkey syria,negatif,earthquak death toll surpass 28 000 turkey syria,"['earthquak', 'death', 'toll', 'surpass', '28', '000', 'turkey', 'syria']","['earthquak', 'death', 'toll', 'surpass', '28', '000', 'turkey', 'syria']","['earthquak', 'death', 'toll', 'surpass', '28', '000', 'turkey', 'syria']"
turkey syria rescu continu death toll near 26 000 salut peopl work continu rescu peopl rubbl whole world pray may allah w help turkish syrian peopl,positif,turkey syria rescu continu death toll near 26 000 salut peopl work continu rescu peopl rubbl whole world pray may allah w help turkish syrian peopl,"['turkey', 'syria', 'rescu', 'continu', 'death', 'toll', 'near', '26', '000', 'salut', 'peopl', 'work', 'continu', 'rescu', 'peopl', 'rubbl', 'whole', 'world', 'pray', 'may', 'allah', 'w', 'help', 'turkish', 'syrian', 'peopl']","['turkey', 'syria', 'rescu', 'continu', 'death', 'toll', 'near', '26', '000', 'salut', 'peopl', 'work', 'continu', 'rescu', 'peopl', 'rubbl', 'whole', 'world', 'pray', 'may', 'allah', 'w', 'help', 'turkish', 'syrian', 'peopl']","['turkey', 'syria', 'rescu', 'continu', 'death', 'toll', 'near', '26', '000', 'salut', 'peopl', 'work', 'continu', 'rescu', 'peopl', 'rubbl', 'whole', 'world', 'pray', 'may', 'allah', 'w', 'help', 'turkish', 'syrian', 'peopl']"
life dead place memori live,negatif,life dead place memori live,"['life', 'dead', 'place', 'memori', 'live']","['life', 'dead', 'place', 'memori', 'live']","['life', 'dead', 'place', 'memori', 'live']"
heart continu ach horrif tragedi unfold deadli earthquak turkey syria,negatif,heart continu ach horrif tragedi unfold deadli earthquak turkey syria,"['heart', 'continu', 'ach', 'horrif', 'tragedi', 'unfold', 'deadli', 'earthquak', 'turkey', 'syria']","['heart', 'continu', 'ach', 'horrif', 'tragedi', 'unfold', 'deadli', 'earthquak', 'turkey', 'syria']","['heart', 'continu', 'ach', 'horrif', 'tragedi', 'unfold', 'deadli', 'earthquak', 'turkey', 'syria']"
drone china provid light rescu scene cr logo,positif,drone china provid light rescu scene cr logo,"['drone', 'china', 'provid', 'light', 'rescu', 'scene', 'cr', 'logo']","['drone', 'china', 'provid', 'light', 'rescu', 'scene', 'cr', 'logo']","['drone', 'china', 'provid', 'light', 'rescu', 'scene', 'cr', 'logo']"
alway brother,positif,alway brother,"['alway', 'brother']","['alway', 'brother']","['alway', 'brother']"
world wake turkish barbar state enough enough,negatif,world wake turkish barbar state enough enough,"['world', 'wake', 'turkish', 'barbar', 'state', 'enough', 'enough']","['world', 'wake', 'turkish', 'barbar', 'state', 'enough', 'enough']","['world', 'wake', 'turkish', 'barbar', 'state', 'enough', 'enough']"
pleas donat,positif,pleas donat,"['pleas', 'donat']","['pleas', 'donat']","['plea', 'donat']"
turkey quak presid erdogan accept problem respons,neutral,turkey quak presid erdogan accept problem respons,"['turkey', 'quak', 'presid', 'erdogan', 'accept', 'problem', 'respons']","['turkey', 'quak', 'presid', 'erdogan', 'accept', 'problem', 'respons']","['turkey', 'quak', 'presid', 'erdogan', 'accept', 'problem', 'respon']"
addit team rescuer land turkey morn brave harsh freez weather condit wast time alreadi begun crucial task,positif,addit team rescuer land turkey morn brave harsh freez weather condit wast time alreadi begun crucial task,"['addit', 'team', 'rescuer', 'land', 'turkey', 'morn', 'brave', 'harsh', 'freez', 'weather', 'condit', 'wast', 'time', 'alreadi', 'begun', 'crucial', 'task']","['addit', 'team', 'rescuer', 'land', 'turkey', 'morn', 'brave', 'harsh', 'freez', 'weather', 'condit', 'wast', 'time', 'alreadi', 'begun', 'crucial', 'task']","['addit', 'team', 'rescuer', 'land', 'turkey', 'morn', 'brave', 'harsh', 'freez', 'weather', 'condit', 'wast', 'time', 'alreadi', 'begun', 'crucial', 'task']"
sri lankan femal die earthquak turkey identifi,neutral,sri lankan femal die earthquak turkey identifi,"['sri', 'lankan', 'femal', 'die', 'earthquak', 'turkey', 'identifi']","['sri', 'lankan', 'femal', 'die', 'earthquak', 'turkey', 'identifi']","['sri', 'lankan', 'femal', 'die', 'earthquak', 'turkey', 'identifi']"
toll cross 28 000,neutral,toll cross 28 000,"['toll', 'cross', '28', '000']","['toll', 'cross', '28', '000']","['toll', 'cross', '28', '000']"
extend deepest sympathi peopl turkey affect devast earthquak thought prayer difficult time,negatif,extend deepest sympathi peopl turkey affect devast earthquak thought prayer difficult time,"['extend', 'deepest', 'sympathi', 'peopl', 'turkey', 'affect', 'devast', 'earthquak', 'thought', 'prayer', 'difficult', 'time']","['extend', 'deepest', 'sympathi', 'peopl', 'turkey', 'affect', 'devast', 'earthquak', 'thought', 'prayer', 'difficult', 'time']","['extend', 'deepest', 'sympathi', 'peopl', 'turkey', 'affect', 'devast', 'earthquak', 'thought', 'prayer', 'difficult', 'time']"
prayer turkey syria earthquak victim,positif,prayer turkey syria earthquak victim,"['prayer', 'turkey', 'syria', 'earthquak', 'victim']","['prayer', 'turkey', 'syria', 'earthquak', 'victim']","['prayer', 'turkey', 'syria', 'earthquak', 'victim']"
global updat turkey crack develop build toppl earthquak,neutral,global updat turkey crack develop build toppl earthquak,"['global', 'updat', 'turkey', 'crack', 'develop', 'build', 'toppl', 'earthquak']","['global', 'updat', 'turkey', 'crack', 'develop', 'build', 'toppl', 'earthquak']","['global', 'updat', 'turkey', 'crack', 'develop', 'build', 'toppl', 'earthquak']"
refus come hijab,positif,refus come hijab,"['refus', 'come', 'hijab']","['refus', 'come', 'hijab']","['refu', 'come', 'hijab']"
death toll rise 33 179 29 605 3 574 earthquak shown import decentralis disast manag central plan odisha implement decentralis cyclon respons plan work well,negatif,death toll rise 33 179 29 605 3 574 earthquak shown import decentralis disast manag central plan odisha implement decentralis cyclon respons plan work well,"['death', 'toll', 'rise', '33', '179', '29', '605', '3', '574', 'earthquak', 'shown', 'import', 'decentralis', 'disast', 'manag', 'central', 'plan', 'odisha', 'implement', 'decentralis', 'cyclon', 'respons', 'plan', 'work', 'well']","['death', 'toll', 'rise', '33', '179', '29', '605', '3', '574', 'earthquak', 'shown', 'import', 'decentralis', 'disast', 'manag', 'central', 'plan', 'odisha', 'implement', 'decentralis', 'cyclon', 'respons', 'plan', 'work', 'well']","['death', 'toll', 'rise', '33', '179', '29', '605', '3', '574', 'earthquak', 'shown', 'import', 'decentrali', 'disast', 'manag', 'central', 'plan', 'odisha', 'implement', 'decentrali', 'cyclon', 'respon', 'plan', 'work', 'well']"
pakistan armi sar team continu rescu oper turkey great job turkish brother,positif,pakistan armi sar team continu rescu oper turkey great job turkish brother,"['pakistan', 'armi', 'sar', 'team', 'continu', 'rescu', 'oper', 'turkey', 'great', 'job', 'turkish', 'brother']","['pakistan', 'armi', 'sar', 'team', 'continu', 'rescu', 'oper', 'turkey', 'great', 'job', 'turkish', 'brother']","['pakistan', 'armi', 'sar', 'team', 'continu', 'rescu', 'oper', 'turkey', 'great', 'job', 'turkish', 'brother']"
noth go alway someth go crazi world,negatif,noth go alway someth go crazi world,"['noth', 'go', 'alway', 'someth', 'go', 'crazi', 'world']","['noth', 'go', 'alway', 'someth', 'go', 'crazi', 'world']","['noth', 'go', 'alway', 'someth', 'go', 'crazi', 'world']"
heartbroken hear devast earthquak turkey send love support affect stay strong,positif,heartbroken hear devast earthquak turkey send love support affect stay strong,"['heartbroken', 'hear', 'devast', 'earthquak', 'turkey', 'send', 'love', 'support', 'affect', 'stay', 'strong']","['heartbroken', 'hear', 'devast', 'earthquak', 'turkey', 'send', 'love', 'support', 'affect', 'stay', 'strong']","['heartbroken', 'hear', 'devast', 'earthquak', 'turkey', 'send', 'love', 'support', 'affect', 'stay', 'strong']"
turkey arrest build contractor earthquak death toll pass 33 000 via,negatif,turkey arrest build contractor earthquak death toll pass 33 000 via,"['turkey', 'arrest', 'build', 'contractor', 'earthquak', 'death', 'toll', 'pass', '33', '000', 'via']","['turkey', 'arrest', 'build', 'contractor', 'earthquak', 'death', 'toll', 'pass', '33', '000', 'via']","['turkey', 'arrest', 'build', 'contractor', 'earthquak', 'death', 'toll', 'pass', '33', '000', 'via']"
break news earthquak magnitud 4 7 occur 24 km south south east sse kahramanmara turkey usg earthquak,negatif,break news earthquak magnitud 4 7 occur 24 km south south east sse kahramanmara turkey usg earthquak,"['break', 'news', 'earthquak', 'magnitud', '4', '7', 'occur', '24', 'km', 'south', 'south', 'east', 'sse', 'kahramanmara', 'turkey', 'usg', 'earthquak']","['break', 'news', 'earthquak', 'magnitud', '4', '7', 'occur', '24', 'km', 'south', 'south', 'east', 'sse', 'kahramanmara', 'turkey', 'usg', 'earthquak']","['break', 'news', 'earthquak', 'magnitud', '4', '7', 'occur', '24', 'km', 'south', 'south', 'east', 'sse', 'kahramanmara', 'turkey', 'usg', 'earthquak']"
within next 42hr christian atsu locat,neutral,within next 42hr christian atsu locat,"['within', 'next', '42hr', 'christian', 'atsu', 'locat']","['within', 'next', '42hr', 'christian', 'atsu', 'locat']","['within', 'next', '42hr', 'christian', 'atsu', 'locat']"
anonym pakistani donor donat 30 million victim,neutral,anonym pakistani donor donat 30 million victim,"['anonym', 'pakistani', 'donor', 'donat', '30', 'million', 'victim']","['anonym', 'pakistani', 'donor', 'donat', '30', 'million', 'victim']","['anonym', 'pakistani', 'donor', 'donat', '30', 'million', 'victim']"
word describ much broken depress hard handl wholeheart,negatif,word describ much broken depress hard handl wholeheart,"['word', 'describ', 'much', 'broken', 'depress', 'hard', 'handl', 'wholeheart']","['word', 'describ', 'much', 'broken', 'depress', 'hard', 'handl', 'wholeheart']","['word', 'describ', 'much', 'broken', 'depress', 'hard', 'handl', 'wholeheart']"
earthquak magnitud 4 7 strike turkey,negatif,earthquak magnitud 4 7 strike turkey,"['earthquak', 'magnitud', '4', '7', 'strike', 'turkey']","['earthquak', 'magnitud', '4', '7', 'strike', 'turkey']","['earthquak', 'magnitud', '4', '7', 'strike', 'turkey']"
help turkey syrian earthquak imedi appeal paypal fundrais everi littl bit help,positif,help turkey syrian earthquak imedi appeal paypal fundrais everi littl bit help,"['help', 'turkey', 'syrian', 'earthquak', 'imedi', 'appeal', 'paypal', 'fundrais', 'everi', 'littl', 'bit', 'help']","['help', 'turkey', 'syrian', 'earthquak', 'imedi', 'appeal', 'paypal', 'fundrais', 'everi', 'littl', 'bit', 'help']","['help', 'turkey', 'syrian', 'earthquak', 'imedi', 'appeal', 'paypal', 'fundrai', 'everi', 'littl', 'bit', 'help']"
widespread influenc earthquak turkey heartbreak see prayer affect,negatif,widespread influenc earthquak turkey heartbreak see prayer affect,"['widespread', 'influenc', 'earthquak', 'turkey', 'heartbreak', 'see', 'prayer', 'affect']","['widespread', 'influenc', 'earthquak', 'turkey', 'heartbreak', 'see', 'prayer', 'affect']","['widespread', 'influenc', 'earthquak', 'turkey', 'heartbreak', 'see', 'prayer', 'affect']"
earthquak victim turkey syria need help donat red cross canada,positif,earthquak victim turkey syria need help donat red cross canada,"['earthquak', 'victim', 'turkey', 'syria', 'need', 'help', 'donat', 'red', 'cross', 'canada']","['earthquak', 'victim', 'turkey', 'syria', 'need', 'help', 'donat', 'red', 'cross', 'canada']","['earthquak', 'victim', 'turkey', 'syria', 'need', 'help', 'donat', 'red', 'cross', 'canada']"
turkey syria earthquak death toll surpass 33 000,neutral,turkey syria earthquak death toll surpass 33 000,"['turkey', 'syria', 'earthquak', 'death', 'toll', 'surpass', '33', '000']","['turkey', 'syria', 'earthquak', 'death', 'toll', 'surpass', '33', '000']","['turkey', 'syria', 'earthquak', 'death', 'toll', 'surpass', '33', '000']"
turkey earthquak buri aliv newborn son,positif,turkey earthquak buri aliv newborn son,"['turkey', 'earthquak', 'buri', 'aliv', 'newborn', 'son']","['turkey', 'earthquak', 'buri', 'aliv', 'newborn', 'son']","['turkey', 'earthquak', 'buri', 'aliv', 'newborn', 'son']"
littl girl rescu rubbl 150 hour turkish health ministri,positif,littl girl rescu rubbl 150 hour turkish health ministri,"['littl', 'girl', 'rescu', 'rubbl', '150', 'hour', 'turkish', 'health', 'ministri']","['littl', 'girl', 'rescu', 'rubbl', '150', 'hour', 'turkish', 'health', 'ministri']","['littl', 'girl', 'rescu', 'rubbl', '150', 'hour', 'turkish', 'health', 'ministri']"
one week fight rubl greek rescu team return home last night one state would done countri left back legaci solidar love year come,positif,one week fight rubl greek rescu team return home last night one state would done countri left back legaci solidar love year come,"['one', 'week', 'fight', 'rubl', 'greek', 'rescu', 'team', 'return', 'home', 'last', 'night', 'one', 'state', 'would', 'done', 'countri', 'left', 'back', 'legaci', 'solidar', 'love', 'year', 'come']","['one', 'week', 'fight', 'rubl', 'greek', 'rescu', 'team', 'return', 'home', 'last', 'night', 'one', 'state', 'would', 'done', 'countri', 'left', 'back', 'legaci', 'solidar', 'love', 'year', 'come']","['one', 'week', 'fight', 'rubl', 'greek', 'rescu', 'team', 'return', 'home', 'last', 'night', 'one', 'state', 'would', 'done', 'countri', 'left', 'back', 'legaci', 'solidar', 'love', 'year', 'come']"
pray turkiy syria,positif,pray turkiy syria,"['pray', 'turkiy', 'syria']","['pray', 'turkiy', 'syria']","['pray', 'turkiy', 'syria']"
miracul rescu two month old babi rescu rubbl collaps build 128 hour 5 day turkey babi surviv deadli disast immedi taken hospit medic check wish good health,positif,miracul rescu two month old babi rescu rubbl collaps build 128 hour 5 day turkey babi surviv deadli disast immedi taken hospit medic check wish good health,"['miracul', 'rescu', 'two', 'month', 'old', 'babi', 'rescu', 'rubbl', 'collaps', 'build', '128', 'hour', '5', 'day', 'turkey', 'babi', 'surviv', 'deadli', 'disast', 'immedi', 'taken', 'hospit', 'medic', 'check', 'wish', 'good', 'health']","['miracul', 'rescu', 'two', 'month', 'old', 'babi', 'rescu', 'rubbl', 'collaps', 'build', '128', 'hour', '5', 'day', 'turkey', 'babi', 'surviv', 'deadli', 'disast', 'immedi', 'taken', 'hospit', 'medic', 'check', 'wish', 'good', 'health']","['miracul', 'rescu', 'two', 'month', 'old', 'babi', 'rescu', 'rubbl', 'collap', 'build', '128', 'hour', '5', 'day', 'turkey', 'babi', 'surviv', 'deadli', 'disast', 'immedi', 'taken', 'hospit', 'medic', 'check', 'wish', 'good', 'health']"
sadaqa life let sadaqa ul fitr heal wound brother,negatif,sadaqa life let sadaqa ul fitr heal wound brother,"['sadaqa', 'life', 'let', 'sadaqa', 'ul', 'fitr', 'heal', 'wound', 'brother']","['sadaqa', 'life', 'let', 'sadaqa', 'ul', 'fitr', 'heal', 'wound', 'brother']","['sadaqa', 'life', 'let', 'sadaqa', 'ul', 'fitr', 'heal', 'wound', 'brother']"
death toll turkey syria earthquak rose 33 179 92 600 injur,neutral,death toll turkey syria earthquak rose 33 179 92 600 injur,"['death', 'toll', 'turkey', 'syria', 'earthquak', 'rose', '33', '179', '92', '600', 'injur']","['death', 'toll', 'turkey', 'syria', 'earthquak', 'rose', '33', '179', '92', '600', 'injur']","['death', 'toll', 'turkey', 'syria', 'earthquak', 'rose', '33', '179', '92', '600', 'injur']"
russian militari activ help syria hit terribl earthquak,positif,russian militari activ help syria hit terribl earthquak,"['russian', 'militari', 'activ', 'help', 'syria', 'hit', 'terribl', 'earthquak']","['russian', 'militari', 'activ', 'help', 'syria', 'hit', 'terribl', 'earthquak']","['russian', 'militari', 'activ', 'help', 'syria', 'hit', 'terribl', 'earthquak']"
pray turkey syria,positif,pray turkey syria,"['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']"
turkey quak justic offici investig build contractor,positif,turkey quak justic offici investig build contractor,"['turkey', 'quak', 'justic', 'offici', 'investig', 'build', 'contractor']","['turkey', 'quak', 'justic', 'offici', 'investig', 'build', 'contractor']","['turkey', 'quak', 'justic', 'offici', 'investig', 'build', 'contractor']"
29500 die highli affect 2 mass grave 6000 bodi buri till mani debri let pray,negatif,29500 die highli affect 2 mass grave 6000 bodi buri till mani debri let pray,"['29500', 'die', 'highli', 'affect', '2', 'mass', 'grave', '6000', 'bodi', 'buri', 'till', 'mani', 'debri', 'let', 'pray']","['29500', 'die', 'highli', 'affect', '2', 'mass', 'grave', '6000', 'bodi', 'buri', 'till', 'mani', 'debri', 'let', 'pray']","['29500', 'die', 'highli', 'affect', '2', 'mass', 'grave', '6000', 'bodi', 'buri', 'till', 'mani', 'debri', 'let', 'pray']"
