tweet_final,Positive,Negative,Neutral,Compound,Sentiment
turkiy rise help allah,0.474,0.0,0.526,0.4019,positif
pm shahbaz sharif leav quak stricken rkiy two day visit,0.0,0.268,0.732,-0.5106,negatif
rich contin team stand earthquak victim set wallet help famili damag homeless earthquak donat collect transfer non government organ,0.258,0.086,0.656,0.6369,positif
natur bird give danger bell,0.0,0.459,0.541,-0.5267,negatif
realli shame us children wish die get relief cold anyth pleas help,0.378,0.311,0.311,0.128,positif
sanjay gupta ride helicopt deliv aid turkey earthquak,0.0,0.0,1.0,0.0,neutral
india send lesser aid syria turkey,0.0,0.0,1.0,0.0,neutral
heart goe peopl turkey,0.0,0.0,1.0,0.0,neutral
may angel never go far involv turkey disast amin,0.0,0.0,1.0,0.0,neutral
killer compani cengiz hold donat turkey read,0.0,0.417,0.583,-0.6486,negatif
allah,0.0,0.0,1.0,0.0,neutral
peopl still aliv crumbl build pleas pleas pleas send drone send dog send machin pleas send,0.0,0.0,1.0,0.0,neutral
everyon donat think turkey forget syria,0.0,0.275,0.725,-0.2263,negatif
turkey death toll exce 42 000,0.0,0.438,0.562,-0.5994,negatif
baghdad sent three new relief plane friday gaziantep turkey follow devast earthquak 6 februari iraqi premier muhammad al sudani vow keep send aid turkey syria,0.119,0.0,0.881,0.4767,positif
al mustafa hospit thalassemia unit requir blood donat retain live special kid,0.197,0.0,0.803,0.4019,positif
prime minist meet earthquak victim adiyaman,0.0,0.296,0.704,-0.2732,negatif
wish photo made artifici intellig ten citi turkey current experienc realiti,0.213,0.0,0.787,0.4019,positif
human embrac,0.0,0.0,1.0,0.0,neutral
numb eye frozen singl tear fallen tear flow inward burn chest rib mind process tragedi 10 day,0.0,0.246,0.754,-0.5994,negatif
return rescu search oper turkish peopl greet,0.277,0.0,0.723,0.3182,positif
loss life properti turkiy syria truli devast help griev peopl donat prime minist relief fund bank punjab,0.262,0.104,0.633,0.5423,positif
turkey death toll rise 39 000 earthquak,0.0,0.394,0.606,-0.5994,negatif
thank memor moment share us sorri tragic end good heart,0.458,0.181,0.361,0.5574,positif
lifeless bodi christian atsu found rubbl condol famili love one,0.318,0.0,0.682,0.6369,positif
rip legend,0.0,0.0,1.0,0.0,neutral
thought prayer atsu famili friend,0.444,0.0,0.556,0.4939,positif
honor sudanes rescu team hous consul turkey particip chairman board director novella compani,0.211,0.0,0.789,0.4939,positif
antakya,0.0,0.0,1.0,0.0,neutral
tribut pour news ex chelsea newcastl player tragic demis,0.0,0.273,0.727,-0.4588,negatif
goal sad day,0.0,0.608,0.392,-0.4767,negatif
memori die earthquak,0.0,0.661,0.339,-0.5994,negatif
ghana christian atsu found dead turkey earthquak,0.0,0.417,0.583,-0.6486,negatif
tragic loss footbal world ghanaian player christian atsu found dead rubbl turkey earthquak,0.0,0.49,0.51,-0.8625,negatif
let stand togeth support difficult period stay strong take care,0.52,0.141,0.339,0.7717,positif
13 day 296 hour devast earthquak turkey rescuer continu find peopl aliv search rubbl absolut miracul,0.0,0.0,1.0,0.0,neutral
may allah swt grant deceas earthquak jannatul firdaw number look like exceed 50 000 inna lilah wa ina ilayhi raji un,0.259,0.0,0.741,0.6486,positif
subhan allah syrian brother rescu 13 day rubbl water first request may allah help,0.172,0.0,0.828,0.4019,positif
christian atsu famili newcastl unit game brought tear 2 think famili friend teammat difficult time,0.181,0.141,0.678,0.1779,positif
wan na cri thought dead also thought famili make listen convers brother,0.0,0.281,0.719,-0.6486,negatif
death toll rise 40 642 author time rescuer continu get peopl rubbl manag get 45 year old man aliv spent 278 hour heap concret 11 day,0.0,0.135,0.865,-0.5994,negatif
41000 dead respons need held account,0.0,0.462,0.538,-0.6486,negatif
word big enough describ grief pain cri father found children cloth rubbl earthquak,0.0,0.371,0.629,-0.7579,negatif
much love turkey,0.677,0.0,0.323,0.6369,positif
rest peac champ,0.608,0.0,0.392,0.4767,positif
dutch research predict would hit region highlight almost exact precis epicent quak would soon strike,0.142,0.089,0.769,0.2263,positif
rip hero,0.783,0.0,0.217,0.5574,positif
rip christian atsu 31 year old,0.0,0.0,1.0,0.0,neutral
love air,0.808,0.0,0.192,0.6369,positif
earthquak death toll surpass 46 000 syria turkey via,0.0,0.328,0.672,-0.5994,negatif
dad reunit 4 year old daughter separ,0.0,0.0,1.0,0.0,neutral
true exampl pet choos parent,0.412,0.0,0.588,0.4215,positif
ghananian found dead rubbl home almost 2 week earthquak previous play newcastl allah belong return,0.128,0.23,0.642,-0.4404,negatif
rip atsu rest peac,0.0,0.0,1.0,0.0,neutral
bless,1.0,0.0,0.0,0.4215,positif
turkiy syriya need prayer eshel murad,0.0,0.0,1.0,0.0,neutral
deploy sever captur imag quak hit area help countri better analyz situat alloc relief resourc accord industri newspap china news,0.339,0.0,0.661,0.8271,positif
heartbreak,0.0,1.0,0.0,-0.5719,negatif
46 000 peopl kill earthquak struck rkiy syria toll expect soar 264 000 apart rkiy destroy mani still miss countri worst modern disast,0.0,0.469,0.531,-0.9423,negatif
respons formid aid plane take almost daili help search rescu medic treatment rehabilit,0.168,0.0,0.832,0.3446,positif
accus if death intent could save atsu intern left die question bongo fake news,0.133,0.452,0.415,-0.8271,negatif
chindi choor shameless,0.0,0.545,0.455,-0.34,negatif
ndrf rescuer deploy rkiy wind exert tremend effort contribut toward mitig coloss tragedi caus,0.0,0.0,1.0,0.0,neutral
pakistani govern pack relief good sent turkey flood victim sent back turkey earthquak victim famou quot come one countri produc mani rectum,0.213,0.149,0.638,0.4215,positif
thank good rescuer,0.844,0.0,0.156,0.6597,positif
miracl babi,0.0,0.0,1.0,0.0,neutral
rest peac ghanian legendari footbal,0.0,0.0,1.0,0.0,neutral
cloth item everyday essenti need,0.0,0.0,1.0,0.0,neutral
pleas pray morn still much pain loss devast indescrib rebuild year,0.145,0.352,0.503,-0.5106,negatif
may god merci soul lost one whole famili name complet wipe,0.157,0.172,0.672,-0.0516,negatif
turkish actor rais 6 1 billion earthquak victim famou turkish actor rais 6 billion earthquak victim turkey syria live telethon collect donat mashaallah,0.0,0.189,0.811,-0.4939,negatif
footbal christian atsu found rubbl home almost two week 7 8 magnitud earthquak hit turkey syria agent confirm,0.0,0.0,1.0,0.0,neutral
may find peac midst tragedi may memori lost sourc comfort strength day come deepest sympathi,0.285,0.115,0.6,0.5267,positif
glad express love publicli often wife famili like ladi appear claim,0.548,0.0,0.452,0.8658,positif
farewel christian atsu legend,0.0,0.0,1.0,0.0,neutral
unit state provid addit 100 million dollar earthquak respons turkey syria u state depart said sunday ad 85 million previous approv,0.0,0.0,1.0,0.0,neutral
turkey aftermath earthquak focu europ via,0.0,0.0,1.0,0.0,neutral
act god caus earthquak turkey murder corrupt caus mani death constanz letsch,0.107,0.437,0.457,-0.8176,negatif
turkey earthquak challeng erdogan ahead elect via,0.0,0.0,1.0,0.0,neutral
pray syria,0.697,0.0,0.303,0.3182,positif
metallica foundat donat 250 000 aid victim massiv earthquak turkey syria,0.0,0.174,0.826,-0.2732,negatif
nasa send heartbeat detect finder help turkey earthquak recoveri effort,0.231,0.0,0.769,0.4019,positif
secretari state blinken tour devast earthquak turkey,0.0,0.0,1.0,0.0,neutral
stupid system 1 countri block countri sweden finland join allianc countri hit earthquak probabl got help 2 countri boycot shame leader,0.173,0.332,0.495,-0.6705,negatif
pray peopl,0.697,0.0,0.303,0.3182,positif
turkey end search rescu oper nearli two week huge earthquak kill ten thousand peopl countri disast manag author said,0.096,0.196,0.708,-0.5267,negatif
hope wrong think recent earthquak turkey hmm,0.264,0.282,0.455,-0.0516,negatif
icymi turkish airlin chang logo especi across social media platform mourn famili lost love one earthquak devast turkey syria,0.166,0.202,0.632,0.0258,positif
45 000 peopl report dead due recent deadli earthquak hit countri turkey syria come heel corona viru scare 2020 anoth report axi euphrat river also rep,0.0,0.238,0.762,-0.8176,negatif
blinken tour earthquak zone turkey unveil 100 million aid,0.0,0.0,1.0,0.0,neutral
thank continu support victim turkey syria,0.505,0.204,0.291,0.4767,positif
dear cousin nurdan husband talat lost live great earthquak turkey remain unforgotten,0.372,0.128,0.5,0.6597,positif
death toll devast earthquak southeastern exceed 41 000 turkey emerg manag agenc,0.0,0.262,0.738,-0.5994,negatif
sad news christian atsu die age 31 bodi found 12 day devast earthquak turkey agent manag confirm former premier leagu footbal play newcastl chelsea went miss follow devast earthquak turkey,0.065,0.232,0.703,-0.7351,negatif
director aftersun charlott well tear honour turkey earthquak victim accept bafta award,0.567,0.1,0.333,0.8689,positif
italian actor director writer playwright ascanio celestini invit support earthquak victim donat heyva sor kurdistan thank support,0.343,0.091,0.565,0.7003,positif
turkey announc search rescu effort complet earthquak zone except southern kahramanmara hatay provinc death toll increas,0.0,0.206,0.794,-0.5994,negatif
one turkey earthquak victim,0.0,0.412,0.588,-0.2732,negatif
devast earthquak kill 46 000 peopl across turkey syria past two week one worst disast recent histori,0.0,0.37,0.63,-0.8689,negatif
fight god peopl save god also keep busi turkey earthquak,0.463,0.163,0.375,0.5859,positif
46 400 peopl die across syria turkey sinc earthquak nearli two week ago offici said final day search rescu oper emerg worker manag extract hand peopl rubbl aliv,0.097,0.118,0.785,-0.1779,negatif
coupl miracul pull turkey earthquak rubbl 12 day,0.0,0.0,1.0,0.0,neutral
remain former black star player christian atsu final arriv kotoka intern airport ghana remain found twelv day turkish author recent earthquak occur turkey,0.0,0.0,1.0,0.0,neutral
senat accus wef engin turkey earthquak erdogan upset klau schwab news punch,0.0,0.191,0.809,-0.3818,negatif
break earth crust turkish provinc hatay aftermath earthquak turkey,0.0,0.0,1.0,0.0,neutral
turkey earthquak survivor still rescu death toll pass 46 000 via,0.162,0.253,0.584,-0.34,negatif
soccer star found dead mani still miss turkey earthquak rubbl,0.0,0.424,0.576,-0.7096,negatif
great man fallen great footbal gone mourn strong,0.581,0.268,0.152,0.802,positif
earthquak aftershock felt kahramanmara gaziantep turkey,0.0,0.0,1.0,0.0,neutral
m4 1 strike 24 km 2 min ago info,0.0,0.2,0.8,-0.128,negatif
turkey end earthquak defens blanken pledg fresh us aid,0.223,0.0,0.777,0.3182,positif
turkey earthquak red balloon place rubbl honour child victim releas singl 99 red balloon proce go victim countri,0.162,0.183,0.655,0.128,positif
artemi vision express sincer condol deepest sympathi syria turkey loss thousand innoc live larg scale destruct wrought ruthless earthquak,0.084,0.241,0.675,-0.5719,negatif
hi could help turkish man led larg scale fundrais effort ballina help assist earthquak relief effort turkey syria travel mar 7th non perish good bring given addit allow,0.366,0.0,0.634,0.9062,positif
earthquak death toll turkey syria pass 46 000 desper sign life grow,0.0,0.262,0.738,-0.5994,negatif
first group ukrainian rescuer return turkey week emerg worker help turkish colleagu search peopl rubbl elimin consequ earthquak welcom home guy,0.119,0.0,0.881,0.4019,positif
turkey earthquak corrupt misrul made deadlier turkish presid recep tayyip erdogan hollow state institut place loyalist key posit enrich croni pave way tragedi,0.102,0.0,0.898,0.3612,positif
turkey halt rescu effort earthquak survivor cnn,0.294,0.0,0.706,0.3612,positif
strang haarp cloud syria turkey earthquak,0.0,0.0,1.0,0.0,neutral
build made turkey syria earthquak deadli arac l yla,0.0,0.0,1.0,0.0,neutral
white hous pledg 100m earthquak aid turkey syria hill,0.0,0.0,1.0,0.0,neutral
1 hospit northern hundr children lie alon survivor famili follow devast hit one heart tell yet lost entir famili,0.12,0.111,0.769,0.0516,positif
sec antoni blinken visit hardest hit area turkey follow deadli earthquak,0.0,0.0,1.0,0.0,neutral
search rescu team hard work turkey syria earthquak survivor still pull rubbl ogb medic director spoke effect winter temperatur trauma patient,0.101,0.17,0.729,-0.1779,negatif
turkey halt rescu effort earthquak survivor,0.333,0.0,0.667,0.3612,positif
us secretari state say provid longer term help seek rebuild follow month,0.197,0.0,0.803,0.4019,positif
curiou illeg cross still cross gotten vax countri know american drop like fli seem like replac heard peopl turkey head earthquak,0.199,0.084,0.717,0.4404,positif
midst turkey recent earthquak search rescu team discov 2 million cash belong one earthquak victim money deliv author,0.0,0.116,0.884,-0.2732,negatif
4 1 magnitud 24 km gaziantep turkey,0.0,0.0,1.0,0.0,neutral
regul capit one biggest driver human progress unregul capit lead bank real estat failur like 2008 earthquak cal live kill dozen turkey kill ten thousand lack gov ref build code,0.126,0.279,0.595,-0.8126,negatif
charli hebdo make fun dead turkey earthquak via,0.243,0.316,0.441,-0.25,negatif
well glad least earthquak turkey genuin epicent wait,0.459,0.0,0.541,0.6249,positif
romanian senat claim turkey earthquak caus geolog weapon part mass genocid agenda,0.0,0.167,0.833,-0.296,negatif
februari 3 2023 massiv earthquak struck turkey syria unit state plan ad 100 million dollar previous 85 million alreadi given presid biden plan split money refuge humanitarian support,0.091,0.067,0.842,0.1779,positif
develop u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist,0.0,0.0,1.0,0.0,neutral
u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist,0.0,0.0,1.0,0.0,neutral
magnitudo 4 1 24 km nne nurda turkey 14 minut 30 second ago,0.0,0.0,1.0,0.0,neutral
turkey wind earthquak survivor rescu phase,0.333,0.0,0.667,0.3612,positif
u secretari state antoni blinken taken helicopt tour one provinc worst affect feb 6 earthquak southern turkey northern syria pledg 100 million disast aid help region,0.094,0.142,0.764,-0.34,negatif
read 3 earthquak expert predict 80 chanc istanbul 7 quak next decad doubt turkey follow anti seismic norm build well japan,0.092,0.21,0.699,-0.4019,negatif
turkey quak rescu effort earthquak survivor wound,0.294,0.0,0.706,0.3612,positif
hard time understood well differ separ human be noth compar similar,0.168,0.112,0.72,0.1779,positif
sad even may allah grant etern rest,0.236,0.292,0.472,-0.1531,negatif
misinform recent earthquak turkey like rest trash post blatant misinform clearli establish veget growth lip insid real fissur,0.242,0.0,0.758,0.6249,positif
turkey earthquak red balloon place rubbl honour child victim bbc news,0.25,0.142,0.608,0.3818,positif
piec well worth read detail failur build regul turkey highlight ingenu architect engin help design construct safer structur,0.478,0.0,0.522,0.872,positif
earthquak turkey 19 death among moroccan nation embassi,0.0,0.358,0.642,-0.5994,negatif
would stronger point actual unregul capit 2008 like l crisi happen one regul industri also turkey build code mani meant focu earthquak exactli like also corrupt,0.257,0.0,0.743,0.765,positif
pass tinfoil hat conspiraci theori 1997 mel gibson julia robert video courtesi watch end xo,0.0,0.0,1.0,0.0,neutral
proud ethiopian airlin arriv gazantep today sever support group support earthquak disast turkey friend partner thank,0.563,0.0,0.437,0.9217,positif
two week 7 8 magnitud earthquak hit turkey rescu oper countri call hope find survivor dim,0.31,0.0,0.69,0.6597,positif
turkey halt rescu effort earthquak survivor,0.333,0.0,0.667,0.3612,positif
christian atsu found dead rubbl build live follow turkey earthquak,0.0,0.323,0.677,-0.6486,negatif
sorrow heart announc mortal remain christian atsu flown ghana perceiv offic kotoka intern airport atsu die turkeyearthquak claim live,0.0,0.3,0.7,-0.8074,negatif
build made turkey syria earthquak deadli via,0.0,0.0,1.0,0.0,neutral
46 000 peopl kill earthquak struck turkey syria toll expect soar,0.0,0.427,0.573,-0.7717,negatif
messag young peopl light 2023 earthquak turkey syria except ye repent ye shall likewis perish luke 13 nahum 1 listen messag follow link,0.0,0.0,1.0,0.0,neutral
million peopl turkey remain need food shelter electr toilet almost two week devast earthquak turkish govern scrambl meet herculean challeng hous,0.0,0.0,1.0,0.0,neutral
follow deadli earthquak ravag much turkey remain jew antakya eight famili flown istanbul stay jewish nurs home,0.0,0.0,1.0,0.0,neutral
thousand turkish fan admir share anyth let alon help earthquak disast befel turkey time hurt love ronaldo heyyy,0.41,0.122,0.468,0.7906,positif
think thing prevent turkey earthquak proof infrastructur regul amaz,0.121,0.0,0.879,0.0258,positif
earthquak turkey time knowledg countri still oil gold antiqu kill innoc peopl steal crop seed bank grow food,0.0,0.331,0.669,-0.836,negatif
diseas spread turkey earthquak zone,0.0,0.0,1.0,0.0,neutral
turkey end rescu effort two earthquak hit provinc,0.0,0.0,1.0,0.0,neutral
respect grief feyda doveli die earthquak turkey hope famili friend find comfort heart keep go path best way possibl death end know much person miss earth plane,0.342,0.271,0.387,0.5106,positif
southeast turkey close border syria 7 8 moment magnitud earthquak occur last februari 6 sensor around world detect seismic wave earthquak result catastroph consequ,0.0,0.0,1.0,0.0,neutral
great see volunt collabor variou global chapter serv human,0.339,0.0,0.661,0.6249,positif
thing realli worri sf big one might hit turkey syria observ hundr year earthquak move back ca concern amount peopl tax would taken paycheck,0.0,0.0,1.0,0.0,neutral
turkey state ignor warn say engin architect beyond bulli coward erdogan complain architect done journalist made turkiy world lead jailer,0.0,0.289,0.711,-0.7096,negatif
white hous pledg 100m earthquak aid turkey syria noth peopl east palestin oh wait presid trump mayb get help deserv,0.124,0.0,0.876,0.4019,positif
world central kitchen founder jose andr talk relief effort follow earthquak turkey syria,0.205,0.0,0.795,0.4767,positif
intern commun talk turkey n syria support earthquak victim long ukrain n russian war continu one medit end war,0.105,0.387,0.508,-0.802,negatif
million peopl turkey remain need food shelter electr toilet almost two week devast earthquak turkish govern scrambl meet herculean challeng hous,0.0,0.0,1.0,0.0,neutral
woman miracul pull aliv rubbl 12 day buri ruin turkey earthquak world news sun 19 feb 22 10 utc,0.0,0.174,0.826,-0.5859,negatif
50 000 die far need support wish fund use rehabilit reconstruct manufactur weapon,0.263,0.298,0.439,-0.1779,negatif
turkey quak rescu effort earthquak survivor wound,0.294,0.0,0.706,0.3612,positif
earthquak turkey one deadliest centuri egypt independ,0.0,0.0,1.0,0.0,neutral
fascin graph great economist articl turkey earthquak poorer area suffer 3 5 time damag richer area thing natur disast,0.283,0.226,0.491,0.3612,positif
turkish media turn isra search rescu team came turkey earthquak smuggl histor manuscript torah israel,0.0,0.0,1.0,0.0,neutral
turkey earthquak damag famou g bekli tepe site archaeologist say,0.0,0.0,1.0,0.0,neutral
turkey said rescu effort follow last week devast earthquak end two provinc visit us secretari state antoni blinken announc 100 million fresh humanitarian aid,0.091,0.0,0.909,0.3182,positif
almost half 46 000 peopl kill turkey syria earthquak die one provinc,0.0,0.462,0.538,-0.8625,negatif
blinken tour turkey earthquak zone pledg 100 million u aid npr,0.0,0.0,1.0,0.0,neutral
earthquak split turkey open,0.0,0.0,1.0,0.0,neutral
surround children earthquak volunt turkish girl surpris cake candl friday celebr fifth birthday us send addit 100m earthquak aid turkey syria,0.0,0.0,1.0,0.0,neutral
whre earthquakechildren turkey sect withdraw hand children expect healti transpar explan earthquak children ask eartquak children safe,0.289,0.0,0.711,0.7269,positif
300 km lik yerkesi hatt nda meydana gelen mara depremi turkey earthquak tore 300 kilometr ruptur earth surfac,0.0,0.0,1.0,0.0,neutral
christian atsu found dead turkey earthquak,0.0,0.462,0.538,-0.6486,negatif
turkey halt rescu effort earthquak survivor cnn,0.294,0.0,0.706,0.3612,positif
blinken arriv tour turkey earthquak zone,0.0,0.0,1.0,0.0,neutral
turkey experienc huge earthquak disast 40 000 peopl die number grow rapidli pleas start big chariti campaign twitter peopl turkey,0.147,0.159,0.694,-0.3182,negatif
turkey syria earthquak rip huge chasm oliv fiel via could air strike,0.167,0.109,0.725,0.2023,positif
stop via blinken tour turkey earthquak zone pledg 100 million u aid,0.0,0.18,0.82,-0.296,negatif
help peopl distress pleas like share sell earthquak victim 7 8 magnitud turkey,0.392,0.291,0.317,0.2263,positif
us lift syrian sanction stop steal oil 12 year warmong strang coincid earthquak simultan turkey block sweden membership kind quit nordstream sabotag detail add,0.107,0.262,0.631,-0.5994,negatif
us secretari state antoni blinken took helicopt tour sunday one provinc worst affect feb 6 earthquak southern turkey northern syria pledg 100 million aid help region,0.091,0.138,0.772,-0.34,negatif
donat dec turkey syria earthquak appeal help provid aid peopl desper need pleas join donat,0.274,0.0,0.726,0.5994,positif
moder mag 4 3 earthquak 4 3 central turkey monday feb 20 2023 12 30 gmt 3 via,0.0,0.0,1.0,0.0,neutral
yunanistan da per lig futbol tak mlar ndan paok aek pazar g n oynayacaklar kar la madan eld edilecek lat n bir b l n rkiy suriy deki depremzedeler ba layacaklar n klad,0.0,0.0,1.0,0.0,neutral
u secretari state antoni blinken took helicopt tour sunday one provinc worst affect feb 6 earthquak southern turkey,0.0,0.215,0.785,-0.6249,negatif
eleventh day row uae continu send relief aid affect earthquak syria turkey part oper gallant knight 2 65 relief flight syria,0.344,0.0,0.656,0.836,positif
greec strongest earthquak entir histori even stronger syria turkey ta nea,0.379,0.0,0.621,0.6705,positif
turkey earthquak fault line map space,0.0,0.351,0.649,-0.4019,negatif
send 110 ton humanitarian aid earthquak victim turkey,0.0,0.231,0.769,-0.2732,negatif
french geophysicist le pichon turkey shift 4 meter west earthquak,0.0,0.0,1.0,0.0,neutral
sad truth less popular alreadi 1 worth think,0.514,0.247,0.239,0.3277,positif
deepli someon nation form applic rememb childhood leyla write diari one summer earth shook turkey serial earthquak kill thousand peopl throughout countri,0.0,0.234,0.766,-0.7269,negatif
earthquak death toll pass 46 000 turkey earthquak updat turkey earthquak 2023 news18 world,0.0,0.231,0.769,-0.5994,negatif
watch secretari state blinken speak earthquak relief turkey,0.307,0.0,0.693,0.4767,positif
mashallah full hous dat collabor mfc hhrd pack donat help brother sister affect earthquak syria turkey may allah eas suffer,0.112,0.145,0.744,-0.2023,negatif
hade turkey mexico realli kind concern earthquak pretti much everywher earth right,0.236,0.0,0.764,0.5267,positif
devast 7 8 mag earthquak struck turkey syrian region feb 6th reach death toll approx 46k focus effort toward syrian american medic associ donat anytim februari,0.039,0.211,0.75,-0.7003,negatif
go check fundrais turkey syria earthquak relief us currenc goe long way turkey syria even small donat make big differ,0.14,0.0,0.86,0.4767,positif
turkey earthquak live rescuer fight odd without water heat via,0.0,0.38,0.62,-0.5994,negatif
saw anti war stop ww3 protestor weekend told guy collect donat turkey syria earthquak earthquak hoax posit everyth hoax except whatev putin propaganda tell f k genocid love pr ck,0.106,0.367,0.528,-0.8126,negatif
armi forc 2017 2023 show video weapon use ultra sonic weapon earthquak turkey syria countri extra terrestri sah thn popul synthet hybrid human sight,0.0,0.167,0.833,-0.5267,negatif
blinken took helicopt tour sunday hatay one provinc worst affect feb 6 earthquak southern northern pledg 100 million aid help region,0.109,0.165,0.726,-0.34,negatif
blinken pledg us aid earthquak struck turkey,0.0,0.25,0.75,-0.25,negatif
anti gov next derang turkey multipl earthquak fault sit near boundari 3 plate converg also extens briberi inspector get earthquak resist construct,0.0,0.208,0.792,-0.6124,negatif
imagin earthquak victim lost entir famili home permit aid per turkey blinken come along give billion aid specifi discrimin us partner kurdish friend afrin must top list,0.154,0.136,0.71,0.1531,positif
earthquak viral confess 6 year old girl turkey fed white beard man kosovo world,0.0,0.0,1.0,0.0,neutral
turkey halt rescu effort earthquak survivor cnn,0.294,0.0,0.706,0.3612,positif
freemason support turkey syria fundrais brother syria earthquak hit,0.252,0.0,0.748,0.4019,positif
detail analysi show scale destruct turkey earthquak,0.0,0.362,0.638,-0.5267,negatif
fifa foundat provid usd 1 million aid rkiy syria earthquak victim via,0.0,0.174,0.826,-0.2732,negatif
hey rishi let get right look send 2billion zelenski clown warmong kill peopl 11million turkey syria natur earthquak kill woman children night,0.0,0.32,0.68,-0.886,negatif
hey dumbass chariti begin home peopl east palestin need money democrat croni pretend dont exist fuck turkey yeah earthquak seriou environment catastroph hand,0.264,0.16,0.576,0.5023,positif
slept 56 hour work research found 40 peopl submerg rubbl whenev sit rest would pour littl water would come back turkey earthquak,0.0,0.0,1.0,0.0,neutral
believ suspicion regard natur turkey earthquak natur,0.0,0.302,0.698,-0.3818,negatif
woman miracul pull aliv rubbl 12 day buri ruin turkey earthquak polit news sun 19 feb 22 36 utc,0.0,0.174,0.826,-0.5859,negatif
donat turkey syria,0.0,0.0,1.0,0.0,neutral
devast aftermath turkey syria earthquak dw news via,0.0,0.0,1.0,0.0,neutral
turkey deni sweden join nato us put pressur turkey keep nato togeth state jim townsend day earthquak us blev nordstream 2 like trigger earthquak deliber attack alli us sick,0.134,0.182,0.684,-0.4019,negatif
india becam potent tool statecraft first c 17 laden disast relief personnel land adana within 24 hour devast 6 februari th,0.147,0.0,0.853,0.4767,positif
two week sinc earthquak moment chang life live mani peopl turkey syria search rescu team still ground civilian still volunt time mani left griev,0.0,0.0,1.0,0.0,neutral
talk turkey day understand post earthquak turkey arac l yla,0.0,0.0,1.0,0.0,neutral
atsu found dead rubbl turkey earthquak,0.0,0.462,0.538,-0.6486,negatif
turkey earthquak blinken pledg 100m help amid go nationwid latest trend news,0.197,0.0,0.803,0.4019,positif
chao like earthquak turkey must put monstrou builder architect jail make paper build earthquak zone must pay murder,0.106,0.258,0.636,-0.5574,negatif
good explan deep crevass form turkey earthquak fault surfac ruptur phenomenon rather result massiv landslid trigger shake,0.136,0.207,0.657,-0.128,negatif
massiv thank donat drive survivor gener offer pack transport good ist contact mean quick deliveri need earthquak stricken zone,0.302,0.126,0.573,0.5574,positif
christian atsu found dead turkey earthquak bbc sport,0.0,0.381,0.619,-0.6486,negatif
isra chief rabbi recent earthquak turkey syria divin justic senior isra rabbi describ recent deadli earthquak turkey syria kill ten thousand peopl divin justic,0.0,0.17,0.83,-0.6908,negatif
ten thousand peopl affect massiv mon feb 6 2023 urgent need basic humanitarian support pleas donat today,0.243,0.0,0.757,0.5423,positif
ancient book esther scroll surviv turkey earthquak brought israel via,0.0,0.0,1.0,0.0,neutral
drone footag shown devast earthquak part turkey landscap,0.0,0.0,1.0,0.0,neutral
turkey earthquak one deadliest one ever right jesu christ 45k peopl dead,0.0,0.281,0.719,-0.6486,negatif
turkey earthquak blinken pledg 100m aid amid visit nation,0.0,0.0,1.0,0.0,neutral
rescu effort wound turkey hope find survivor deadli earthquak hit turkey syria ran,0.329,0.0,0.671,0.6597,positif
soccer star christian atsu bodi move ghana follow devast earthquak turkey,0.0,0.0,1.0,0.0,neutral
new post turkey earthquak rescu oper end govern say,0.0,0.0,1.0,0.0,neutral
sunday weekend spent well assist turkey earthquak relief effort young member mosqu warehous organ consul gener turkey locat area around keel finch close york univers,0.184,0.0,0.816,0.6369,positif
announc 100 million relief fund,0.437,0.0,0.563,0.4767,positif
southeast kill 46 000 peopl reuter,0.0,0.485,0.515,-0.6908,negatif
us ramp aid earthquak struck turkey syria,0.0,0.25,0.75,-0.25,negatif
cours trump fault much turkey earthquak even figur believ lie,0.0,0.231,0.769,-0.4019,negatif
bombshel romanian senat diana sosoaca deep state globalist caus massiv turkey earthquak kill ten thousand erdogan upset world econom forum nazi leader klau schwab explain,0.0,0.241,0.759,-0.8074,negatif
seri earthquak struck februari 6 gave rise new conspiraci theori social media variou languag,0.0,0.143,0.857,-0.25,negatif
russian state media outlet exploit earthquak gain showcas moscow humanitarian assist bash west allegedli hamper humanitarian aid told,0.163,0.067,0.769,0.4588,positif
ghana soccer player christian atsu found dead rubbl turkey earthquak agent say,0.0,0.281,0.719,-0.6486,negatif
turkish student worker artist hold vigil washington squar park victim hit earthquak februari 6 center kahramanmara provinc affect 13 million peopl,0.0,0.1,0.9,-0.2732,negatif
turkey end earthquak rescu effort nine 11 provinc itv news,0.0,0.0,1.0,0.0,neutral
syrian man tell aj wife die turkey syria earthquak predict death hour two young daughter also die leav husband five children behind,0.0,0.381,0.619,-0.9136,negatif
poor area suffer 3 5 time damag turkey earthquak,0.0,0.569,0.431,-0.765,negatif
turkey syria earthquak babi rescu 128 hour hero day world news,0.265,0.0,0.735,0.5574,positif
earthquak kill 46 530 peopl,0.0,0.54,0.46,-0.6908,negatif
kickoff spotifi camp nou hold minut silenc former player marco alonso pe victim earthquak turkey syria rest peac,0.0,0.11,0.89,-0.2732,negatif
brit donat nearli 100 million turkey syria earthquak victim,0.0,0.208,0.792,-0.2732,negatif
saudi arabia help turkey earthquak come man muslim,0.278,0.0,0.722,0.4019,positif
make sad turkey halt rescu effort earthquak survivor cnn via news,0.171,0.212,0.616,-0.1531,negatif
